"振込日","加盟店番号（V/M）","店舗番号（AKR）","店舗名","取引年月日","決済ブランド","決済ブランド（カード番号下４桁）","支払区分","金額（円）","税区分","備考"
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-19","楽天ペイ","","一括","950","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-19","PayPay","","一括","900","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-19","PayPay","","一括","900","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-19","d払い","","一括","19512","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-19","d払い","","一括","1800","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-19","Visa","3004","一括","20196","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-19","Visa","5584","一括","7967","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-19","Visa","5155","一括","73513","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-19","Visa","5087","一括","8899","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-19","Visa","9113","一括","9806","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-19","Mastercard(R)","9007","一括","29268","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-19","Diners Club","4277","一括","6369","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-19","Visa","9690","一括","49196","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-19","Visa","2824","一括","19912","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-19","JCB","1000","一括","8717","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-19","JCB","2741","一括","12786","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-19","Visa","6894","一括","10695","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-19","Visa","4290","一括","1936","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-19","Visa","6361","一括","6395","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-19","Visa","0678","一括","15312","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-19","Visa","7598","一括","900","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-18","d払い","","一括","17912","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-18","d払い","","一括","900","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-18","d払い","","一括","900","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-18","d払い","","一括","900","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-18","iD","6***","一括","2655","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-18","American Express","4104","一括","11132","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-18","Visa","1265","一括","19492","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-18","American Express","5391","一括","8459","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-18","Visa","3241","一括","42492","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-18","Visa","9734","一括","29468","非課税",""
