"振込日","加盟店番号（V/M）","店舗番号（AKR）","店舗名","取引年月日","決済ブランド","決済ブランド（カード番号下４桁）","支払区分","金額（円）","税区分","備考"
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-19","JCB","9036","一括","17390","非課税",""
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-19","JCB","2814","一括","13782","非課税",""
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-19","Mastercard(R)","3816","一括","8605","非課税",""
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-19","American Express","1003","一括","2000","非課税",""
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-19","Visa","6101","一括","11324","非課税",""
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-19","American Express","8464","一括","4045","非課税",""
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-19","Visa","0002","一括","15068","非課税",""
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-19","Mastercard(R)","9532","一括","16313","非課税",""
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-18","JCB","3125","一括","11209","非課税",""
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-18","Visa","0510","一括","9016","非課税",""
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-18","Visa","7728","一括","10310","非課税",""
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-18","JCB","5689","一括","6831","非課税",""
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-18","Visa","7182","一括","14404","非課税",""
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-18","Visa","1075","一括","2616","非課税",""
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-18","Visa","9595","一括","1848","非課税",""
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-18","Mastercard(R)","2620","一括","6334","非課税",""
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-18","Visa","5257","一括","4000","非課税",""
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-17","iD","6***","一括","13002","非課税",""
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-17","Visa","6294","一括","9812","非課税",""
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-17","Visa","8755","一括","13882","非課税",""
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-17","Visa","0003","一括","1500","非課税",""
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-17","Visa","1962","一括","14212","非課税",""
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-17","Mastercard(R)","8710","一括","2800","非課税",""
"2025-11-26","055349408065","AKR5967416400","カキノバル下北沢","2025-11-17","JCB","1004","一括","17764","非課税",""
