"振込日","加盟店番号（V/M）","店舗番号（AKR）","店舗名","取引年月日","決済ブランド","決済ブランド（カード番号下４桁）","支払区分","金額（円）","税区分","備考"
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","au PAY","","一括","750","課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","PayPay","","一括","27148","課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","PayPay","","一括","9515","課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","PayPay","","一括","15444","課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","PayPay","","一括","17284","課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","PayPay","","一括","850","課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","PayPay","","一括","12156","課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","PayPay","","一括","850","課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","PayPay","","一括","1000","課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","PayPay","","一括","1750","課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","PayPay","","一括","850","課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","PayPay","","一括","900","課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","PayPay","","一括","900","課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","PayPay","","一括","900","課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","PayPay","","一括","1000","課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","PayPay","","一括","1100","課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","d払い","","一括","1000","課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","d払い","","一括","850","課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","d払い","","一括","1000","課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","QUICPay","8***","","3908","非課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","iD","6***","一括","13941","非課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","交通系電子マネー","1249","","1000","課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","JCB","1059","一括","6226","非課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","American Express","1007","一括","6762","非課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","Visa","5765","一括","24156","非課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","Visa","4150","一括","10582","非課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","Visa","0007","一括","19645","非課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","Visa","4549","一括","19052","非課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","Visa","0178","一括","18447","非課税",""
"2025-12-25","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-12-19","Visa","8084","一括","12925","非課税",""
