"振込日","加盟店番号（V/M）","店舗番号（AKR）","店舗名","取引年月日","決済ブランド","決済ブランド（カード番号下４桁）","支払区分","金額（円）","税区分","備考"
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","楽天ペイ","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","PayPay","","一括","5478","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","PayPay","","一括","11066","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","PayPay","","一括","15356","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","PayPay","","一括","14300","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","PayPay","","一括","68222","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","PayPay","","一括","7414","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","PayPay","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","PayPay","","一括","8624","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","PayPay","","一括","2000","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","PayPay","","一括","1000","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","PayPay","","一括","1000","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","PayPay","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","PayPay","","一括","650","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","交通系電子マネー","9415","","1000","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","Visa","4921","一括","22385","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","Visa","1034","一括","80443","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","Visa","1289","一括","28710","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","Visa","3725","一括","37004","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","Visa","7010","一括","10530","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","Visa","0469","一括","10978","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","Visa","9257","一括","8569","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","Visa","2418","一括","650","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-19","Visa","9299","一括","500","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-18","PayPay","","一括","30272","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-18","PayPay","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-18","PayPay","","一括","800","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-18","PayPay","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-18","PayPay","","一括","800","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-18","PayPay","","一括","850","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-18","PayPay","","一括","800","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-18","PayPay","","一括","850","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-18","PayPay","","一括","900","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-18","PayPay","","一括","950","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-18","PayPay","","一括","1500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-18","PayPay","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-18","PayPay","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-18","PayPay","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-18","d払い","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-18","QUICPay","8***","","500","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-18","QUICPay","1***","","500","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-18","iD","2***","一括","500","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-18","iD","0***","一括","500","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-18","交通系電子マネー","9415","","800","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-18","Visa","0285","一括","47762","非課税",""
